Title,Artist,Album,Release Date,Popularity
Die With A Smile,Lady Gaga,Die With A Smile,2024-08-16,100
BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,97
Sailor Song,Gigi Perez,Sailor Song,2024-07-26,93
Timeless (with Playboi Carti),The Weeknd,Timeless,2024-09-27,92
"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",2024-04-05,92
WILDFLOWER,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,92
Taste,Sabrina Carpenter,Short n' Sweet,2024-08-23,90
No One Noticed,The Marías,Submarine,2024-05-31,86
All I Want for Christmas Is You,Mariah Carey,Merry Christmas,1994-10-28,91
HOT TO GO!,Chappell Roan,The Rise and Fall of a Midwest Princess,2023-09-22,86
Sweater Weather,The Neighbourhood,I Love You.,2013-04-22,89
Pink Pony Club,Chappell Roan,The Rise and Fall of a Midwest Princess,2023-09-22,85
Stick Season,Noah Kahan,Stick Season,2022-10-14,86
Last Christmas,Wham!,LAST CHRISTMAS,1984-11-29,89
Bed Chem,Sabrina Carpenter,Short n' Sweet,2024-08-23,87
Snooze,SZA,SOS,2022-12-09,86
Santa Tell Me,Ariana Grande,Santa Tell Me,2014-11-24,88
I Had Some Help (Feat. Morgan Wallen),Post Malone,F-1 Trillion,2024-08-15,84
Espresso,Sabrina Carpenter,Short n' Sweet,2024-08-23,88
Messy,Lola Young,Messy,2024-05-30,88
A Bar Song (Tipsy),Shaboozey,A Bar Song (Tipsy),2024-04-12,85
I Never Lie,Zach Top,Cold Beer & Country Music,2024-04-05,79
Juno,Sabrina Carpenter,Short n' Sweet,2024-08-23,85
CHIHIRO,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,87
Underneath the Tree,Kelly Clarkson,Wrapped In Red,2013-10-29,77
Wind Up Missin’ You,Tucker Wetmore,Waves On A Sunset,2024-10-04,80
Red Wine Supernova,Chappell Roan,The Rise and Fall of a Midwest Princess,2023-09-22,82
Take Me to Church,Hozier,Hozier (Expanded Edition),2014-09-19,79
End of Beginning,Djo,DECIDE,2022-09-16,89
Please Please Please,Sabrina Carpenter,Short n' Sweet,2024-08-23,86
Pain,PinkPantheress,to hell with it,2021-10-15,83
Kill Bill,SZA,SOS,2022-12-08,86
Feliz Navidad,José Feliciano,Feliz Navidad,2002-09-24,79
That's What I Like,Bruno Mars,24K Magic,2016-11-17,88
Apocalypse,Cigarettes After Sex,Cigarettes After Sex,2017-06-09,87
Shut up My Moms Calling,Hotel Ugly,Shut up My Moms Calling,2020-02-10,84
Locked out of Heaven,Bruno Mars,Unorthodox Jukebox,2012-12-07,89
Cruel Summer,Taylor Swift,Lover,2019-08-23,88
Who,Jimin,MUSE,2024-07-19,90
Yellow,Coldplay,Parachutes,2000-07-10,89
the perfect pair,beabadoobee,Beatopia,2022-07-15,83
Romantic Homicide,d4vd,Romantic Homicide,2022-07-20,84
Beautiful Things,Benson Boone,Fireworks & Rollerblades,2024-04-05,87
Nonsense,Sabrina Carpenter,emails i can't send,2022-07-15,85
A Bar Song (Tipsy),Shaboozey,"Where I've Been, Isn't Where I'm Going",2024-05-31,83
Slow It Down,Benson Boone,Fireworks & Rollerblades,2024-04-05,84
Espresso,Sabrina Carpenter,Espresso,2024-04-12,88
Sleigh Ride,The Ronettes,A Christmas Gift For You From Phil Spector,1963,83
I Had Some Help (Feat. Morgan Wallen),Post Malone,I Had Some Help,2024-05-10,83
Stargazing,Myles Smith,Stargazing,2024-05-10,86
